,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,1.3487170934677124,0.5718404054641724,1.4967129230499268,0.6402228474617004,1.5063117742538452,1.4955415725708008,1.4903353452682495,0.6966137290000916,1.1943321228027344
Drosophila,1.3487170934677124,0.0,1.3271950483322144,0.867612898349762,1.3411970138549805,0.841760516166687,0.8423944115638733,0.7149013876914978,1.4418779611587524,0.5490832924842834
E.coli,0.5718404054641724,1.3271950483322144,0.0,1.3968024253845215,0.6473367810249329,1.420259952545166,1.391606330871582,1.415534496307373,0.8134538531303406,1.1547576189041138
Human,1.4967129230499268,0.867612898349762,1.3968024253845215,0.0,1.5690512657165527,0.15670162439346313,0.15047329664230347,0.32123130559921265,1.5366369485855103,0.956195592880249
M.tb,0.6402228474617004,1.3411970138549805,0.6473367810249329,1.5690512657165527,0.0,1.587342381477356,1.5530046224594116,1.5676701068878174,0.670492947101593,1.1260491609573364
Mouse,1.5063117742538452,0.841760516166687,1.420259952545166,0.15670162439346313,1.587342381477356,0.0,0.20382721722126007,0.2619886100292206,1.5586601495742798,0.9614315032958984
Rabbit,1.4955415725708008,0.8423944115638733,1.391606330871582,0.15047329664230347,1.5530046224594116,0.20382721722126007,0.0,0.32027068734169006,1.5337404012680054,0.9123472571372986
Rat,1.4903353452682495,0.7149013876914978,1.415534496307373,0.32123130559921265,1.5676701068878174,0.2619886100292206,0.32027068734169006,0.0,1.5584359169006348,0.8790152072906494
Thermus,0.6966137290000916,1.4418779611587524,0.8134538531303406,1.5366369485855103,0.670492947101593,1.5586601495742798,1.5337404012680054,1.5584359169006348,0.0,1.2266485691070557
Yeast,1.1943321228027344,0.5490832924842834,1.1547576189041138,0.956195592880249,1.1260491609573364,0.9614315032958984,0.9123472571372986,0.8790152072906494,1.2266485691070557,0.0
