,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,0.18738558484533807,0.022149578352001043,0.15188216683443956,0.10339199669178412,0.1520718235486055,0.14552037961809894,0.17043681525119136,0.09685658748678605,0.15694226453433224
Drosophila,0.18738558484533807,0.0,0.1534962829395604,0.08149762643691405,0.15551066000563263,0.046831215427757256,0.07420886124442683,0.05120082188242947,0.16528805768131227,0.06911004281500177
E.coli,0.022149578352001043,0.1534962829395604,0.0,0.12961530991612757,0.07142651852908477,0.11666245228734784,0.11931200175674861,0.1518923076950578,0.07902615843916971,0.12249685933495724
Human,0.15188216683443956,0.08149762643691405,0.12961530991612757,0.0,0.2082093973345408,0.01671416405454962,0.004230874823349495,0.02119333091220854,0.1770628393029997,0.07167500826923257
M.tb,0.10339199669178412,0.15551066000563263,0.07142651852908477,0.2082093973345408,0.0,0.1711643243130705,0.19034725293981014,0.21118548602741094,0.06641108305502819,0.13510560506032754
Mouse,0.1520718235486055,0.046831215427757256,0.11666245228734784,0.01671416405454962,0.1711643243130705,0.0,0.011587277810276908,0.022592838039310226,0.1608734008093302,0.05636617968607016
Rabbit,0.14552037961809894,0.07420886124442683,0.11931200175674861,0.004230874823349495,0.19034725293981014,0.011587277810276908,0.0,0.023306730359696992,0.17020979752141563,0.06685385254823906
Rat,0.17043681525119136,0.05120082188242947,0.1518923076950578,0.02119333091220854,0.21118548602741094,0.022592838039310226,0.023306730359696992,0.0,0.18644325791560734,0.08678626548280677
Thermus,0.09685658748678605,0.16528805768131227,0.07902615843916971,0.1770628393029997,0.06641108305502819,0.1608734008093302,0.17020979752141563,0.18644325791560734,0.0,0.1391196325976144
Yeast,0.15694226453433224,0.06911004281500177,0.12249685933495724,0.07167500826923257,0.13510560506032754,0.05636617968607016,0.06685385254823906,0.08678626548280677,0.1391196325976144,0.0
