,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,0.17047061339915048,0.1388334814966281,0.2365584896598255,0.2498614629914524,0.6708121875943149,0.2180860639920068,0.20903724995609707,0.077464591278113,0.23226128118899902
Drosophila,0.17047061339915048,0.0,0.17616055743536996,0.12968775381673314,0.20633246530279903,0.5913389344818525,0.11858834934829254,0.0949797821847721,0.17773907250060172,0.1333916552708364
E.coli,0.1388334814966281,0.17616055743536996,0.0,0.34646969548186135,0.12101945835702044,0.5526231197652773,0.3258580654931519,0.2793574256265825,0.10120427567505907,0.2332733484492605
Human,0.2365584896598255,0.12968775381673314,0.34646969548186135,0.0,0.40741639402676577,0.7383538638709479,0.00352485476761788,0.0162260431033453,0.3404551620342876,0.30441277519511967
M.tb,0.2498614629914524,0.20633246530279903,0.12101945835702044,0.40741639402676577,0.0,0.45144115567948084,0.38613349124376073,0.3432055460620813,0.19820308867972358,0.22698351032848418
Mouse,0.6708121875943149,0.5913389344818525,0.5526231197652773,0.7383538638709479,0.45144115567948084,0.0,0.7247510156164165,0.7132540799725928,0.5618235035435908,0.5577874614756209
Rabbit,0.2180860639920068,0.11858834934829254,0.3258580654931519,0.00352485476761788,0.38613349124376073,0.7247510156164165,0.0,0.013309430547399304,0.32390170953568775,0.2917653616403132
Rat,0.20903724995609707,0.0949797821847721,0.2793574256265825,0.0162260431033453,0.3432055460620813,0.7132540799725928,0.013309430547399304,0.0,0.2986876949467929,0.2798607555596909
Thermus,0.077464591278113,0.17773907250060172,0.10120427567505907,0.3404551620342876,0.19820308867972358,0.5618235035435908,0.32390170953568775,0.2986876949467929,0.0,0.1603686995088962
Yeast,0.23226128118899902,0.1333916552708364,0.2332733484492605,0.30441277519511967,0.22698351032848418,0.5577874614756209,0.2917653616403132,0.2798607555596909,0.1603686995088962,0.0
