,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,1.387693166732788,1.199273943901062,1.9774198532104492,1.6264208555221558,3.1380510330200195,1.8581211566925049,1.7601150274276733,0.9104362726211548,1.5587855577468872
Drosophila,1.387693166732788,0.0,1.3626981973648071,1.5316133499145508,1.4946786165237427,2.9695444107055664,1.4267327785491943,1.2393711805343628,1.3723469972610474,1.2013099193572998
E.coli,1.199273943901062,1.3626981973648071,0.0,2.3189470767974854,1.0727370977401733,2.7769246101379395,2.2028181552886963,1.9922477006912231,0.9496069550514221,1.467498540878296
Human,1.9774198532104492,1.5316133499145508,2.3189470767974854,0.0,2.501495122909546,3.676473379135132,0.2662617862224579,0.5664281249046326,2.3037710189819336,2.2005107402801514
M.tb,1.6264208555221558,1.4946786165237427,1.0727370977401733,2.501495122909546,0.0,2.5685412883758545,2.3872430324554443,2.1943001747131348,1.3768219947814941,1.4930219650268555
Mouse,3.1380510330200195,2.9695444107055664,2.7769246101379395,3.676473379135132,2.5685412883758545,0.0,3.5932071208953857,3.501911163330078,2.8083581924438477,2.8197600841522217
Rabbit,1.8581211566925049,1.4267327785491943,2.2028181552886963,0.2662617862224579,2.3872430324554443,3.5932071208953857,0.0,0.48929476737976074,2.1989009380340576,2.1058497428894043
Rat,1.7601150274276733,1.2393711805343628,1.9922477006912231,0.5664281249046326,2.1943001747131348,3.501911163330078,0.48929476737976074,0.0,2.0514302253723145,1.9977281093597412
Thermus,0.9104362726211548,1.3723469972610474,0.9496069550514221,2.3037710189819336,1.3768219947814941,2.8083581924438477,2.1989009380340576,2.0514302253723145,0.0,1.2264262437820435
Yeast,1.5587855577468872,1.2013099193572998,1.467498540878296,2.2005107402801514,1.4930219650268555,2.8197600841522217,2.1058497428894043,1.9977281093597412,1.2264262437820435,0.0
