,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,3.5700459480285645,1.2992274761199951,3.777442455291748,0.7330361008644104,3.769496202468872,3.820183753967285,3.781890392303467,2.0286359786987305,3.528320789337158
Drosophila,3.5700459480285645,0.0,2.643852472305298,0.8099201321601868,3.481764554977417,0.7210309505462646,0.9070155620574951,0.7155821323394775,2.1640055179595947,0.47585177421569824
E.coli,1.2992274761199951,2.643852472305298,0.0,2.8379123210906982,1.1662029027938843,2.815040349960327,2.884638547897339,2.851163387298584,1.0239222049713135,2.5928494930267334
Human,3.777442455291748,0.8099201321601868,2.8379123210906982,0.0,3.639967679977417,0.3053596615791321,0.13540711998939514,0.25995492935180664,2.3787953853607178,0.8066262602806091
M.tb,0.7330361008644104,3.481764554977417,1.1662029027938843,3.639967679977417,0.0,3.629765272140503,3.6783084869384766,3.6554133892059326,1.878657341003418,3.4031457901000977
Mouse,3.769496202468872,0.7210309505462646,2.815040349960327,0.3053596615791321,3.629765272140503,0.0,0.3945868909358978,0.2866826057434082,2.342910051345825,0.681398332118988
Rabbit,3.820183753967285,0.9070155620574951,2.884638547897339,0.13540711998939514,3.6783084869384766,0.3945868909358978,0.0,0.3456391990184784,2.4300811290740967,0.8938820362091064
Rat,3.781890392303467,0.7155821323394775,2.851163387298584,0.25995492935180664,3.6554133892059326,0.2866826057434082,0.3456391990184784,0.0,2.377713203430176,0.7526748776435852
Thermus,2.0286359786987305,2.1640055179595947,1.0239222049713135,2.3787953853607178,1.878657341003418,2.342910051345825,2.4300811290740967,2.377713203430176,0.0,2.0954153537750244
Yeast,3.528320789337158,0.47585177421569824,2.5928494930267334,0.8066262602806091,3.4031457901000977,0.681398332118988,0.8938820362091064,0.7526748776435852,2.0954153537750244,0.0
