,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,0.7463414634146341,0.5870646766169154,0.7365853658536585,0.592039800995025,0.7365853658536585,0.7365853658536585,0.7365853658536585,0.6281407035175879,0.751219512195122
Drosophila,0.7463414634146341,0.0,0.78,0.34426229508196726,0.7524271844660194,0.33426183844011137,0.3370165745856354,0.3415977961432507,0.7783251231527093,0.4651810584958217
E.coli,0.5870646766169154,0.78,0.0,0.775,0.6326530612244898,0.77,0.78,0.77,0.6597938144329897,0.775
Human,0.7365853658536585,0.34426229508196726,0.775,0.0,0.7412935323383085,0.016759776536312887,0.02216066481994461,0.024793388429752095,0.7783251231527093,0.4197183098591549
M.tb,0.592039800995025,0.7524271844660194,0.6326530612244898,0.7412935323383085,0.0,0.7412935323383085,0.736318407960199,0.7412935323383085,0.5463917525773196,0.7609756097560976
Mouse,0.7365853658536585,0.33426183844011137,0.77,0.016759776536312887,0.7412935323383085,0.0,0.03621169916434541,0.011173184357541888,0.7783251231527093,0.41880341880341876
Rabbit,0.7365853658536585,0.3370165745856354,0.78,0.02216066481994461,0.736318407960199,0.03621169916434541,0.0,0.03888888888888886,0.7733990147783252,0.41193181818181823
Rat,0.7365853658536585,0.3415977961432507,0.77,0.024793388429752095,0.7412935323383085,0.011173184357541888,0.03888888888888886,0.0,0.7783251231527093,0.4197183098591549
Thermus,0.6281407035175879,0.7783251231527093,0.6597938144329897,0.7783251231527093,0.5463917525773196,0.7783251231527093,0.7733990147783252,0.7783251231527093,0.0,0.7438423645320197
Yeast,0.751219512195122,0.4651810584958217,0.775,0.4197183098591549,0.7609756097560976,0.41880341880341876,0.41193181818181823,0.4197183098591549,0.7438423645320197,0.0
