,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,0.28656499999999996,0.02432499999999993,0.28427500000000006,0.019809999999999994,0.28025,0.284675,0.28357,0.01602999999999999,0.28542999999999996
Drosophila,0.28656499999999996,0.0,0.29012000000000004,0.017814999999999914,0.28785499999999997,0.01953499999999997,0.021129999999999982,0.025449999999999973,0.2834399999999999,0.015104999999999924
E.coli,0.02432499999999993,0.29012000000000004,0.0,0.2872699999999999,0.026529999999999943,0.28371999999999997,0.28855,0.285925,0.026865000000000028,0.2904
Human,0.28427500000000006,0.017814999999999914,0.2872699999999999,0.0,0.286115,0.007479999999999931,0.0047399999999999665,0.013944999999999985,0.28291,0.014490000000000003
M.tb,0.019809999999999994,0.28785499999999997,0.026529999999999943,0.286115,0.0,0.2821849999999999,0.28752500000000003,0.28235,0.019135000000000013,0.286925
Mouse,0.28025,0.01953499999999997,0.28371999999999997,0.007479999999999931,0.2821849999999999,0.0,0.009645000000000015,0.008164999999999978,0.28017500000000006,0.014685000000000059
Rabbit,0.284675,0.021129999999999982,0.28855,0.0047399999999999665,0.28752500000000003,0.009645000000000015,0.0,0.013009999999999966,0.28400500000000006,0.01744000000000001
Rat,0.28357,0.025449999999999973,0.285925,0.013944999999999985,0.28235,0.008164999999999978,0.013009999999999966,0.0,0.28403500000000004,0.019480000000000053
Thermus,0.01602999999999999,0.2834399999999999,0.026865000000000028,0.28291,0.019135000000000013,0.28017500000000006,0.28400500000000006,0.28403500000000004,0.0,0.28276999999999997
Yeast,0.28542999999999996,0.015104999999999924,0.2904,0.014490000000000003,0.286925,0.014685000000000059,0.01744000000000001,0.019480000000000053,0.28276999999999997,0.0
