,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,0.04950924318867456,0.001544105865625256,0.1259979995167051,0.009386564651077345,0.11266063326550424,0.1259979995167051,0.1259979995167051,0.011122204213344422,0.03585882968655563
Drosophila,0.04950924318867456,0.0,0.05171663960327366,0.03287616877897204,0.05871698157079108,0.026652916046092545,0.03287616877897204,0.03287616877897204,0.059866988866189685,0.008905817628882096
E.coli,0.001544105865625256,0.05171663960327366,0.0,0.13165037095300702,0.006802861149191153,0.1179916012860549,0.13165037095300702,0.13165037095300702,0.009217200457305563,0.03758690134329945
Human,0.1259979995167051,0.03287616877897204,0.13165037095300702,0.0,0.13936688504477868,0.0017165179655844742,0.0,0.0,0.13739695943750663,0.05901783215654799
M.tb,0.009386564651077345,0.05871698157079108,0.006802861149191153,0.13936688504477868,0.0,0.12481692709421444,0.13936688504477868,0.13936688504477868,0.006944237303204814,0.04485873198511503
Mouse,0.11266063326550424,0.026652916046092545,0.1179916012860549,0.0017165179655844742,0.12481692709421444,0.0,0.0017165179655844742,0.0017165179655844742,0.12240166176920708,0.05198716932343361
Rabbit,0.1259979995167051,0.03287616877897204,0.13165037095300702,0.0,0.13936688504477868,0.0017165179655844742,0.0,0.0,0.13739695943750663,0.05901783215654799
Rat,0.1259979995167051,0.03287616877897204,0.13165037095300702,0.0,0.13936688504477868,0.0017165179655844742,0.0,0.0,0.13739695943750663,0.05901783215654799
Thermus,0.011122204213344422,0.059866988866189685,0.009217200457305563,0.13739695943750663,0.006944237303204814,0.12240166176920708,0.13739695943750663,0.13739695943750663,0.0,0.04967713685219488
Yeast,0.03585882968655563,0.008905817628882096,0.03758690134329945,0.05901783215654799,0.04485873198511503,0.05198716932343361,0.05901783215654799,0.05901783215654799,0.04967713685219488,0.0
