,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,2.59,0.84,2.36,1.16,2.28,2.27,2.25,0.74,2.25
Drosophila,2.59,0.0,2.66,1.81,2.52,1.88,1.74,1.69,2.64,1.89
E.coli,0.84,2.66,0.0,2.4,1.19,2.32,2.34,2.44,0.85,2.43
Human,2.36,1.81,2.4,0.0,2.33,1.2,0.55,0.91,2.54,1.63
M.tb,1.16,2.52,1.19,2.33,0.0,2.19,2.27,2.33,1.22,2.28
Mouse,2.28,1.88,2.32,1.2,2.19,0.0,1.08,1.21,2.3,1.47
Rabbit,2.27,1.74,2.34,0.55,2.27,1.08,0.0,0.89,2.45,1.61
Rat,2.25,1.69,2.44,0.91,2.33,1.21,0.89,0.0,2.43,1.64
Thermus,0.74,2.64,0.85,2.54,1.22,2.3,2.45,2.43,0.0,2.4
Yeast,2.25,1.89,2.43,1.63,2.28,1.47,1.61,1.64,2.4,0.0
