,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,0.01625756724855787,0.00866433114766163,0.013955555808366604,0.0032624594631727177,0.17439277325800484,0.014384568318351665,0.014384568318351665,0.01364511556858905,0.026037806428959698
Drosophila,0.01625756724855787,0.0,0.021989134232341057,0.0014825856040270313,0.01759463435094033,0.146233682929636,0.00214785855531352,0.00214785855531352,0.01659892397772167,0.01127782504357111
E.coli,0.00866433114766163,0.021989134232341057,0.0,0.01976164702614569,0.008836784860499436,0.16297263991089084,0.01807005053775379,0.01807005053775379,0.0069611922503426404,0.024238153713968424
Human,0.013955555808366604,0.0014825856040270313,0.01976164702614569,0.0,0.015986449211762954,0.14967031226510719,0.0009241760761246054,0.0009241760761246054,0.01606035633775349,0.012043569202687454
M.tb,0.0032624594631727177,0.01759463435094033,0.008836784860499436,0.015986449211762954,0.0,0.16517876405276866,0.015942962697937713,0.015942962697937713,0.014922418081004252,0.02644086494051201
Mouse,0.17439277325800484,0.146233682929636,0.16297263991089084,0.14967031226510719,0.16517876405276866,0.0,0.14227864052350114,0.14227864052350114,0.15107661371345038,0.12689936663104917
Rabbit,0.014384568318351665,0.00214785855531352,0.01807005053775379,0.0009241760761246054,0.015942962697937713,0.14227864052350114,0.0,-2.220446049250313e-16,0.014713431122183263,0.009211766215767248
Rat,0.014384568318351665,0.00214785855531352,0.01807005053775379,0.0009241760761246054,0.015942962697937713,0.14227864052350114,-2.220446049250313e-16,0.0,0.014713431122183263,0.009211766215767248
Thermus,0.01364511556858905,0.01659892397772167,0.0069611922503426404,0.01606035633775349,0.014922418081004252,0.15107661371345038,0.014713431122183263,0.014713431122183263,0.0,0.018768249024988637
Yeast,0.026037806428959698,0.01127782504357111,0.024238153713968424,0.012043569202687454,0.02644086494051201,0.12689936663104917,0.009211766215767248,0.009211766215767248,0.018768249024988637,0.0
