,B.subtilis,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,1.16,3.96,1.26,3.94,1.65,3.77,1.07,4.04
E.coli,1.16,0.0,3.64,1.45,4.06,1.9,3.89,1.24,3.96
Human,3.96,3.64,0.0,3.75,0.86,4.15,0.91,3.42,1.01
M.tb,1.26,1.45,3.75,0.0,3.46,1.87,3.84,1.58,3.68
Mouse,3.94,4.06,0.86,3.46,0.0,3.37,1.09,3.69,1.14
Rabbit,1.65,1.9,4.15,1.87,3.37,0.0,3.96,1.82,4.04
Rat,3.77,3.89,0.91,3.84,1.09,3.96,0.0,3.8,1.41
Thermus,1.07,1.24,3.42,1.58,3.69,1.82,3.8,0.0,3.92
Yeast,4.04,3.96,1.01,3.68,1.14,4.04,1.41,3.92,0.0
