,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,0.7216494845360825,0.3571428571428571,0.7216494845360825,0.2680412371134021,0.75,0.7216494845360825,0.7216494845360825,0.38144329896907214,0.6907216494845361
Drosophila,0.7216494845360825,0.0,0.731958762886598,0.1089108910891089,0.7448979591836735,0.125,0.11764705882352944,0.11764705882352944,0.75,0.3921568627450981
E.coli,0.3571428571428571,0.731958762886598,0.0,0.7216494845360825,0.3917525773195877,0.75,0.7216494845360825,0.7216494845360825,0.45360824742268047,0.7422680412371134
Human,0.7216494845360825,0.1089108910891089,0.7216494845360825,0.0,0.7448979591836735,0.0625,0.0,0.0,0.71875,0.37623762376237624
M.tb,0.2680412371134021,0.7448979591836735,0.3917525773195877,0.7448979591836735,0.0,0.8125,0.7448979591836735,0.7448979591836735,0.42708333333333337,0.7040816326530612
Mouse,0.75,0.125,0.75,0.0625,0.8125,0.0,0.0625,0.0625,0.625,0.3125
Rabbit,0.7216494845360825,0.11764705882352944,0.7216494845360825,0.0,0.7448979591836735,0.0625,0.0,0.0,0.71875,0.3942307692307693
Rat,0.7216494845360825,0.11764705882352944,0.7216494845360825,0.0,0.7448979591836735,0.0625,0.0,0.0,0.71875,0.3942307692307693
Thermus,0.38144329896907214,0.75,0.45360824742268047,0.71875,0.42708333333333337,0.625,0.71875,0.71875,0.0,0.7291666666666667
Yeast,0.6907216494845361,0.3921568627450981,0.7422680412371134,0.37623762376237624,0.7040816326530612,0.3125,0.3942307692307693,0.3942307692307693,0.7291666666666667,0.0
