,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,0.23895500000000003,0.18366000000000005,0.23833499999999996,0.17298999999999998,0.23066999999999993,0.23880999999999997,0.25070000000000003,0.18808000000000002,0.23519999999999996
Drosophila,0.23895500000000003,0.0,0.14351500000000006,0.0667899999999999,0.14346499999999995,0.09943999999999997,0.06821500000000003,0.07370999999999994,0.16571999999999998,0.04727999999999999
E.coli,0.18366000000000005,0.14351500000000006,0.0,0.14827999999999997,0.06313999999999997,0.18344000000000005,0.14661499999999994,0.16378000000000004,0.08769000000000005,0.14800999999999997
Human,0.23833499999999996,0.0667899999999999,0.14827999999999997,0.0,0.138305,0.04917499999999997,0.007509999999999906,0.025174999999999947,0.157825,0.05105000000000004
M.tb,0.17298999999999998,0.14346499999999995,0.06313999999999997,0.138305,0.0,0.16719499999999998,0.13959500000000002,0.15660000000000007,0.06322000000000005,0.13905500000000004
Mouse,0.23066999999999993,0.09943999999999997,0.18344000000000005,0.04917499999999997,0.16719499999999998,0.0,0.05249499999999996,0.05859499999999995,0.18693000000000004,0.07894000000000001
Rabbit,0.23880999999999997,0.06821500000000003,0.14661499999999994,0.007509999999999906,0.13959500000000002,0.05249499999999996,0.0,0.025460000000000038,0.16459000000000001,0.05369500000000005
Rat,0.25070000000000003,0.07370999999999994,0.16378000000000004,0.025174999999999947,0.15660000000000007,0.05859499999999995,0.025460000000000038,0.0,0.18130500000000005,0.06089499999999992
Thermus,0.18808000000000002,0.16571999999999998,0.08769000000000005,0.157825,0.06322000000000005,0.18693000000000004,0.16459000000000001,0.18130500000000005,0.0,0.15579500000000002
Yeast,0.23519999999999996,0.04727999999999999,0.14800999999999997,0.05105000000000004,0.13905500000000004,0.07894000000000001,0.05369500000000005,0.06089499999999992,0.15579500000000002,0.0
