,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,0.12339999999999995,0.035599999999999965,0.09630000000000005,0.06520000000000004,0.23819999999999997,0.08360000000000001,0.09870000000000001,0.042200000000000015,0.10019999999999996
Drosophila,0.12339999999999995,0.0,0.15639999999999998,0.06689999999999996,0.1482,0.37339999999999995,0.06840000000000002,0.06030000000000002,0.15839999999999999,0.09409999999999996
E.coli,0.035599999999999965,0.15639999999999998,0.0,0.1149,0.07820000000000005,0.42905000000000004,0.10509999999999997,0.1189,0.05069999999999997,0.11709999999999998
Human,0.09630000000000005,0.06689999999999996,0.1149,0.0,0.11960000000000004,0.28890000000000005,0.0022999999999999687,0.030100000000000016,0.12090000000000001,0.02400000000000002
M.tb,0.06520000000000004,0.1482,0.07820000000000005,0.11960000000000004,0.0,0.40469999999999995,0.11650000000000005,0.12085000000000001,0.09599999999999997,0.11939999999999995
Mouse,0.23819999999999997,0.37339999999999995,0.42905000000000004,0.28890000000000005,0.40469999999999995,0.0,0.25060000000000004,0.3055,0.30400000000000005,0.37339999999999995
Rabbit,0.08360000000000001,0.06840000000000002,0.10509999999999997,0.0022999999999999687,0.11650000000000005,0.25060000000000004,0.0,0.0363,0.10699999999999998,0.03520000000000001
Rat,0.09870000000000001,0.06030000000000002,0.1189,0.030100000000000016,0.12085000000000001,0.3055,0.0363,0.0,0.12409999999999999,0.06059999999999999
Thermus,0.042200000000000015,0.15839999999999999,0.05069999999999997,0.12090000000000001,0.09599999999999997,0.30400000000000005,0.10699999999999998,0.12409999999999999,0.0,0.11509999999999998
Yeast,0.10019999999999996,0.09409999999999996,0.11709999999999998,0.02400000000000002,0.11939999999999995,0.37339999999999995,0.03520000000000001,0.06059999999999999,0.11509999999999998,0.0
