,B.subtilis,Drosophila,E.coli,Human,M.tb,Mouse,Rabbit,Rat,Thermus,Yeast
B.subtilis,0.0,2.3488693237304688,0.42097729444503784,3.6551029682159424,1.0539742708206177,3.471433639526367,3.6551029682159424,3.6551029682159424,1.144476056098938,1.9967478513717651
Drosophila,2.3488693237304688,0.0,2.4145679473876953,1.770298719406128,2.614596128463745,1.5993893146514893,1.770298719406128,1.770298719406128,2.636467933654785,0.9734209179878235
E.coli,0.42097729444503784,2.4145679473876953,0.0,3.7511043548583984,0.897136926651001,3.567025661468506,3.7511043548583984,3.7511043548583984,1.04118812084198,2.0561201572418213
Human,3.6551029682159424,1.770298719406128,3.7511043548583984,0.0,3.915557384490967,0.38076475262641907,0.0,0.0,3.889042615890503,2.441983222961426
M.tb,1.0539742708206177,2.614596128463745,0.897136926651001,3.915557384490967,0.0,3.724226236343384,3.915557384490967,3.915557384490967,0.9050118923187256,2.28169322013855
Mouse,3.471433639526367,1.5993893146514893,3.567025661468506,0.38076475262641907,3.724226236343384,0.0,0.38076475262641907,0.38076475262641907,3.6902620792388916,2.298992872238159
Rabbit,3.6551029682159424,1.770298719406128,3.7511043548583984,0.0,3.915557384490967,0.38076475262641907,0.0,0.0,3.889042615890503,2.441983222961426
Rat,3.6551029682159424,1.770298719406128,3.7511043548583984,0.0,3.915557384490967,0.38076475262641907,0.0,0.0,3.889042615890503,2.441983222961426
Thermus,1.144476056098938,2.636467933654785,1.04118812084198,3.889042615890503,0.9050118923187256,3.6902620792388916,3.889042615890503,3.889042615890503,0.0,2.3939077854156494
Yeast,1.9967478513717651,0.9734209179878235,2.0561201572418213,2.441983222961426,2.28169322013855,2.298992872238159,2.441983222961426,2.441983222961426,2.3939077854156494,0.0
